index,age,gender,country,education,role,field,cat_experience,cat_salary,share_unido
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 20K, Colab 
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 20K, GitHub 
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 20K, Kaggle 
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 20K, Colab 
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K, GitHub 
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K, Kaggle 
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K, Colab 
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K,I do not share my work publicly
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 20K, Kaggle 
295,45-49,Man,Other,Master’s degree,Business Analyst,Government/Public Service,Junior,< 20K, Colab 
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,20K - 50K,I do not share my work publicly
311,22-24,Man,China,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, GitHub 
311,22-24,Man,China,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Kaggle 
311,22-24,Man,China,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Colab 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 20K,I do not share my work publicly
396,50-54,Man,Spain,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Junior,50K - 100K, GitHub 
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 20K, GitHub 
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 20K, Kaggle 
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 20K, Colab 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,20K - 50K,I do not share my work publicly
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 20K,I do not share my work publicly
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 20K, GitHub 
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 20K, Colab 
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 20K, GitHub 
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 20K, Kaggle 
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K, GitHub 
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K, GitHub 
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K, Kaggle 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,20K - 50K, GitHub 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,20K - 50K, Kaggle 
467,25-29,Woman,India,Master’s degree,Data Analyst,Retail/Sales,Junior,< 20K, GitHub 
467,25-29,Woman,India,Master’s degree,Data Analyst,Retail/Sales,Junior,< 20K, Kaggle 
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 20K, GitHub 
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 20K,Other
521,35-39,Man,China,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,20K - 50K, Personal blog 
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Plotly Dash 
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, GitHub 
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Personal blog 
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Kaggle 
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Colab 
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,20K - 50K,I do not share my work publicly
560,30-34,Man,Japan,Some college/university study without earning a bachelor’s degree,Business Analyst,Retail/Sales,Junior,< 20K,I do not share my work publicly
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K, GitHub 
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K, Colab 
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K, Kaggle 
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,20K - 50K, GitHub 
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,20K - 50K, Kaggle 
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,20K - 50K, GitHub 
681,18-21,Man,Viet Nam,Master’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,< 20K,I do not share my work publicly
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 20K, GitHub 
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 20K, Kaggle 
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 20K,I do not share my work publicly
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,20K - 50K,I do not share my work publicly
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 20K, Personal blog 
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 20K, Kaggle 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K, Plotly Dash 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K, Streamlit 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K, GitHub 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K, Colab 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K, Streamlit 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K, GitHub 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K, Personal blog 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K, Kaggle 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K, Colab 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K, Shiny 
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Personal blog 
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Kaggle 
763,30-34,Woman,Nigeria,Master’s degree,Data Analyst,Energy/Mining,Junior,< 20K,I do not share my work publicly
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 20K, GitHub 
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 20K, Personal blog 
779,25-29,Woman,India,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K, GitHub 
784,25-29,Man,Russia,No formal education past high school,Data Analyst,Online Business/Internet-based Sales,Senior,20K - 50K, Personal blog 
784,25-29,Man,Russia,No formal education past high school,Data Analyst,Online Business/Internet-based Sales,Senior,20K - 50K, Kaggle 
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 20K, Colab 
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 20K, GitHub 
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 20K, Kaggle 
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 20K, GitHub 
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 20K, Kaggle 
873,35-39,Man,Kenya,Master’s degree,Business Analyst,Academics/Education,Junior,< 20K, Kaggle 
951,30-34,Woman,Russia,Master’s degree,Data Analyst,Online Service/Internet-based Services,Mid,20K - 50K,I do not share my work publicly
959,25-29,Man,Japan,No formal education past high school,Business Analyst,Government/Public Service,Junior,< 20K, Plotly Dash 
959,25-29,Man,Japan,No formal education past high school,Business Analyst,Government/Public Service,Junior,< 20K, GitHub 
959,25-29,Man,Japan,No formal education past high school,Business Analyst,Government/Public Service,Junior,< 20K, Kaggle 
969,18-21,Woman,India,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 20K, GitHub 
979,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,> 200K, Streamlit 
979,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,> 200K, Kaggle 
994,30-34,Man,China,Master’s degree,Data Analyst,Energy/Mining,Mid,50K - 100K, Plotly Dash 
994,30-34,Man,China,Master’s degree,Data Analyst,Energy/Mining,Mid,50K - 100K, GitHub 
1008,30-34,Woman,South Korea,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K, GitHub 
1008,30-34,Woman,South Korea,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K, Kaggle 
1048,30-34,Woman,Nigeria,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K, GitHub 
1058,30-34,Man,Taiwan,Master’s degree,Data Analyst,Broadcasting/Communications,Senior,< 20K,I do not share my work publicly
1061,22-24,Woman,Turkey,Master’s degree,Data Analyst,Retail/Sales,Junior,< 20K,I do not share my work publicly
1097,30-34,Woman,Portugal,Master’s degree,Data Analyst,Accounting/Finance,Senior,< 20K,I do not share my work publicly
1107,25-29,Man,Egypt,Bachelor’s degree,Business Analyst,Broadcasting/Communications,Mid,< 20K, GitHub 
1113,25-29,Woman,Germany,Bachelor’s degree,Data Analyst,Other,Junior,50K - 100K,I do not share my work publicly
1136,25-29,Man,China,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 20K, GitHub 
1143,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K, GitHub 
1143,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K, Kaggle 
1178,50-54,Man,South Korea,Professional doctorate,Business Analyst,Academics/Education,Senior,50K - 100K, Colab 
1192,30-34,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 20K, GitHub 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 20K,I do not share my work publicly
1259,25-29,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K,I do not share my work publicly
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 20K, Plotly Dash 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 20K, Streamlit 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 20K, NBViewer 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 20K, GitHub 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 20K, Personal blog 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 20K, Kaggle 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 20K, Colab 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 20K, Shiny 
1313,18-21,Woman,India,Bachelor’s degree,Data Analyst,Other,Junior,< 20K,I do not share my work publicly
1351,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Retail/Sales,Senior+,20K - 50K, GitHub 
1351,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Retail/Sales,Senior+,20K - 50K, Kaggle 
1370,30-34,Man,China,Master’s degree,Business Analyst,Accounting/Finance,Mid,20K - 50K,I do not share my work publicly
1378,30-34,Man,Saudi Arabia,Bachelor’s degree,Business Analyst,Academics/Education,Junior,< 20K, NBViewer 
1382,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Mid,< 20K, Plotly Dash 
1382,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Mid,< 20K, Streamlit 
1382,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Mid,< 20K, NBViewer 
1382,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Mid,< 20K, GitHub 
1382,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Mid,< 20K, Kaggle 
1382,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Mid,< 20K, Colab 
1382,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Mid,< 20K, Shiny 
1395,50-54,Woman,Poland,Master’s degree,Business Analyst,Academics/Education,Junior,< 20K,I do not share my work publicly
1415,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 20K, GitHub 
1415,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 20K, Kaggle 
1415,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 20K, Colab 
1440,35-39,Man,Nigeria,Doctoral degree,Business Analyst,Accounting/Finance,Mid,50K - 100K, GitHub 
1447,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Shipping/Transportation,Junior,20K - 50K,I do not share my work publicly
1472,22-24,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, GitHub 
1475,30-34,Man,South Korea,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, GitHub 
1475,30-34,Man,South Korea,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Kaggle 
1479,25-29,Man,Singapore,Bachelor’s degree,Data Analyst,Government/Public Service,Junior,20K - 50K,I do not share my work publicly
1485,35-39,Man,Australia,Bachelor’s degree,Business Analyst,Retail/Sales,Junior,100K - 200K, Kaggle 
1521,60-69,Man,Other,Doctoral degree,Business Analyst,Marketing/CRM,Junior,< 20K, Personal blog 
1521,60-69,Man,Other,Doctoral degree,Business Analyst,Marketing/CRM,Junior,< 20K, Kaggle 
1523,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K,I do not share my work publicly
1542,30-34,Woman,Germany,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,50K - 100K,I do not share my work publicly
1547,60-69,Man,United States of America,Master’s degree,Business Analyst,Military/Security/Defense,Senior+,100K - 200K, GitHub 
1556,30-34,Man,Chile,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Senior,< 20K, GitHub 
1556,30-34,Man,Chile,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Senior,< 20K, Kaggle 
1562,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K, GitHub 
1562,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K, Kaggle 
1569,30-34,Woman,Canada,Master’s degree,Business Analyst,Computers/Technology,Junior,50K - 100K, GitHub 
1569,30-34,Woman,Canada,Master’s degree,Business Analyst,Computers/Technology,Junior,50K - 100K, Kaggle 
1574,35-39,Woman,South Africa,Bachelor’s degree,Data Analyst,Non-profit/Service,Mid,< 20K,I do not share my work publicly
1593,35-39,Man,Brazil,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 20K, GitHub 
1593,35-39,Man,Brazil,Bachelor’s degree,Data Analyst,Energy/Mining,Senior+,< 20K, Kaggle 
1599,25-29,Man,United States of America,Professional doctorate,Business Analyst,Academics/Education,Senior+,< 20K, Shiny 
1603,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K, GitHub 
1603,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K, Kaggle 
1610,50-54,Woman,United States of America,Master’s degree,Data Analyst,Medical/Pharmaceutical,Senior+,50K - 100K,I do not share my work publicly
1651,35-39,Man,Egypt,Master’s degree,Data Analyst,Other,Junior,< 20K, Kaggle 
1653,50-54,Man,Japan,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K, GitHub 
1678,30-34,Woman,India,Doctoral degree,Data Analyst,Non-profit/Service,Junior,< 20K, GitHub 
1678,30-34,Woman,India,Doctoral degree,Data Analyst,Non-profit/Service,Junior,< 20K, Kaggle 
1678,30-34,Woman,India,Doctoral degree,Data Analyst,Non-profit/Service,Junior,< 20K, Colab 
1680,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,50K - 100K,I do not share my work publicly
1681,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, GitHub 
1686,25-29,Man,Colombia,Master’s degree,Data Analyst,Energy/Mining,Junior,< 20K, Colab 
1690,60-69,Man,Mexico,Master’s degree,Data Analyst,Government/Public Service,Senior,< 20K, Kaggle 
1700,40-44,Man,Saudi Arabia,Doctoral degree,Data Analyst,Academics/Education,Mid,50K - 100K, GitHub 
1748,25-29,Man,South Korea,Bachelor’s degree,Business Analyst,Accounting/Finance,Mid,50K - 100K, GitHub 
1748,25-29,Man,South Korea,Bachelor’s degree,Business Analyst,Accounting/Finance,Mid,50K - 100K, Kaggle 
1818,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Streamlit 
1818,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, GitHub 
1818,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Kaggle 
1818,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Colab 
1830,25-29,Man,Japan,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,20K - 50K, Kaggle 
1830,25-29,Man,Japan,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,20K - 50K,Other
1844,35-39,Man,Nigeria,Bachelor’s degree,Business Analyst,Academics/Education,Junior,< 20K,I do not share my work publicly
1873,25-29,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Kaggle 
1873,25-29,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Colab 
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, Plotly Dash 
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, Streamlit 
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, GitHub 
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, Personal blog 
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, Kaggle 
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, Shiny 
1948,30-34,Man,China,Master’s degree,Data Analyst,Accounting/Finance,Senior,50K - 100K,I do not share my work publicly
1949,25-29,Man,India,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K, Plotly Dash 
1949,25-29,Man,India,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K, NBViewer 
1949,25-29,Man,India,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K, Kaggle 
1961,25-29,Man,Spain,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Mid,20K - 50K,I do not share my work publicly
1979,30-34,Man,Egypt,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 20K, Kaggle 
1989,22-24,Man,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 20K, GitHub 
1993,30-34,Man,India,Master’s degree,Business Analyst,Accounting/Finance,Junior,20K - 50K,I do not share my work publicly
2008,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Junior,< 20K, Plotly Dash 
2008,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Junior,< 20K, GitHub 
2008,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Junior,< 20K, Kaggle 
2008,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Junior,< 20K, Colab 
2008,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Junior,< 20K, Shiny 
2017,30-34,Man,India,Master’s degree,Data Analyst,Shipping/Transportation,Junior,< 20K, GitHub 
2017,30-34,Man,India,Master’s degree,Data Analyst,Shipping/Transportation,Junior,< 20K, Colab 
2021,25-29,Man,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K, GitHub 
2021,25-29,Man,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K, Kaggle 
2028,35-39,Woman,Egypt,Bachelor’s degree,Data Analyst,Other,Junior,< 20K, GitHub 
2028,35-39,Woman,Egypt,Bachelor’s degree,Data Analyst,Other,Junior,< 20K, Kaggle 
2052,40-44,Woman,United Arab Emirates,Master’s degree,Business Analyst,Medical/Pharmaceutical,Senior,100K - 200K, Personal blog 
2055,35-39,Man,Switzerland,Bachelor’s degree,Data Analyst,Other,Junior,100K - 200K,I do not share my work publicly
2088,30-34,Man,India,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 20K, Kaggle 
2097,22-24,Woman,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,50K - 100K,I do not share my work publicly
2100,25-29,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Mid,< 20K, Plotly Dash 
2100,25-29,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Mid,< 20K, Shiny 
2119,18-21,Man,Kenya,Bachelor’s degree,Business Analyst,Insurance/Risk Assessment,Junior,< 20K,I do not share my work publicly
2123,25-29,Man,India,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 20K, GitHub 
2123,25-29,Man,India,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 20K, Kaggle 
2126,22-24,Man,India,Bachelor’s degree,Data Analyst,Government/Public Service,Junior,< 20K, GitHub 
2126,22-24,Man,India,Bachelor’s degree,Data Analyst,Government/Public Service,Junior,< 20K, Kaggle 
2126,22-24,Man,India,Bachelor’s degree,Data Analyst,Government/Public Service,Junior,< 20K, Colab 
2135,30-34,Woman,Mexico,Master’s degree,Business Analyst,Marketing/CRM,Mid,< 20K,I do not share my work publicly
2137,22-24,Man,Taiwan,Master’s degree,Data Analyst,Government/Public Service,Senior,20K - 50K, GitHub 
2137,22-24,Man,Taiwan,Master’s degree,Data Analyst,Government/Public Service,Senior,20K - 50K, Kaggle 
2137,22-24,Man,Taiwan,Master’s degree,Data Analyst,Government/Public Service,Senior,20K - 50K, Colab 
2137,22-24,Man,Taiwan,Master’s degree,Data Analyst,Government/Public Service,Senior,20K - 50K, Shiny 
2154,22-24,Woman,India,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 20K, GitHub 
2156,22-24,Woman,Russia,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 20K, GitHub 
2156,22-24,Woman,Russia,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 20K, Kaggle 
2156,22-24,Woman,Russia,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 20K, Colab 
2163,55-59,Woman,United States of America,Master’s degree,Data Analyst,Military/Security/Defense,Senior,100K - 200K,Other
2175,22-24,Woman,Saudi Arabia,Master’s degree,Data Analyst,Computers/Technology,Senior,< 20K, GitHub 
2175,22-24,Woman,Saudi Arabia,Master’s degree,Data Analyst,Computers/Technology,Senior,< 20K, Kaggle 
2192,35-39,Man,India,Master’s degree,Data Analyst,Computers/Technology,Senior+,< 20K, Kaggle 
