index,age,gender,country,education,role,field,cat_experience,cat_salary,languages
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Python
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K, SQL
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Python
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K, SQL
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Python
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, R
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, SQL
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Python
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K, R
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K, SQL
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K, C
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K, C++
295,45-49,Man,Other,Master’s degree,Business Analyst,Government/Public Service,Junior,< 25K,Python
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,25K - 50K,Python
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,25K - 50K, R
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K, C++
311,22-24,Man,China,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Python
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Python
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K, R
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K, Other
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K, None
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,Python
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K, R
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K, SQL
375,25-29,Woman,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Python
375,25-29,Woman,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K, SQL
375,25-29,Woman,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K, Other
396,50-54,Man,Spain,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Junior,50K - 100K, R
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,Python
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K, SQL
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K, Java
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K, Javascript
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K,Python
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K, R
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K, MATLAB
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K, R
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K, SQL
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Python
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K, R
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K, SQL
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K, C++
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K, MATLAB
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K,Python
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K, SQL
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K, C++
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Python
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 25K, SQL
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 25K, Javascript
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 25K, Other
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K,Python
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K, SQL
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,Python
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K, R
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K, SQL
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K, MATLAB
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Python
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K, SQL
462,18-21,Man,China,Master’s degree,Business Analyst,Academics/Education,Senior,< 25K,Python
467,25-29,Woman,India,Master’s degree,Data Analyst,Retail/Sales,Junior,< 25K,Python
467,25-29,Woman,India,Master’s degree,Data Analyst,Retail/Sales,Junior,< 25K, R
467,25-29,Woman,India,Master’s degree,Data Analyst,Retail/Sales,Junior,< 25K, SQL
477,22-24,Woman,India,Bachelor’s degree,Data Analyst,Other,Sin experiencia,< 25K,
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Python
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K, SQL
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K, MATLAB
521,35-39,Man,China,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Python
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Python
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, SQL
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,25K - 50K,Python
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,25K - 50K, R
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,25K - 50K, C
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,25K - 50K, C++
541,22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Shipping/Transportation,Junior,,Python
541,22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Shipping/Transportation,Junior,, R
541,22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Shipping/Transportation,Junior,, SQL
560,30-34,Man,Japan,Some college/university study without earning a bachelor’s degree,Business Analyst,Retail/Sales,Junior,< 25K,Python
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Python
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, Javascript
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Python
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, R
578,22-24,Man,Ukraine,Bachelor’s degree,Data Analyst,,Junior,,Python
587,35-39,Man,Kenya,Bachelor’s degree,Data Analyst,,Junior,,Python
587,35-39,Man,Kenya,Bachelor’s degree,Data Analyst,,Junior,, R
587,35-39,Man,Kenya,Bachelor’s degree,Data Analyst,,Junior,, SQL
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Python
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, SQL
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Java
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Javascript
603,25-29,Man,Russia,Master’s degree,Business Analyst,Computers/Technology,Junior,,Python
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Python
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K, SQL
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K, Java
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K, Javascript
608,25-29,Man,Other,Master’s degree,Business Analyst,Other,Junior,25K - 50K,Python
608,25-29,Man,Other,Master’s degree,Business Analyst,Other,Junior,25K - 50K, SQL
612,45-49,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Senior+,,Python
612,45-49,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Senior+,, SQL
612,45-49,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Senior+,, Javascript
612,45-49,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Senior+,, Bash
613,50-54,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,, SQL
619,35-39,Woman,Other,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,50K - 100K, C
619,35-39,Woman,Other,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,50K - 100K, C++
619,35-39,Woman,Other,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,50K - 100K, MATLAB
624,18-21,Woman,China,I prefer not to answer,Data Analyst,Academics/Education,Junior,< 25K,Python
624,18-21,Woman,China,I prefer not to answer,Data Analyst,Academics/Education,Junior,< 25K, Java
629,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,,Junior,,Python
629,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,,Junior,, R
632,30-34,Man,Other,Doctoral degree,Data Analyst,,Junior,,Python
638,30-34,Man,Russia,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Python
644,35-39,Man,China,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 25K, SQL
644,35-39,Man,China,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 25K, Java
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Python
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, R
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, SQL
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K,Python
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K, SQL
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,Python
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K, SQL
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,< 25K,Python
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,< 25K, R
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,< 25K, SQL
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,< 25K, Other
681,18-21,Man,Viet Nam,Master’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,< 25K, SQL
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K,Python
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K, SQL
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K, C++
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K, Javascript
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K, Bash
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Python
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K, C++
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K, Java
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K, MATLAB
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 25K,Python
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 25K, R
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 25K, SQL
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 25K, Other
723,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Python
723,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, SQL
727,18-21,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Data Analyst,,Senior+,, R
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,25K - 50K, R
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,25K - 50K, SQL
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K,Python
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K, Javascript
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K, Other
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Python
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K, SQL
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Javascript
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Bash
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Python
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K, R
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K, SQL
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K, Javascript
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Python
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Python
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K, R
763,30-34,Woman,Nigeria,Master’s degree,Data Analyst,Energy/Mining,Junior,< 25K, R
763,30-34,Woman,Nigeria,Master’s degree,Data Analyst,Energy/Mining,Junior,< 25K, SQL
772,30-34,Woman,Other,Master’s degree,Data Analyst,Marketing/CRM,Mid,< 25K, None
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 25K,Python
779,25-29,Woman,India,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K, SQL
784,25-29,Man,Russia,No formal education past high school,Data Analyst,Online Business/Internet-based Sales,Senior,< 25K,Python
784,25-29,Man,Russia,No formal education past high school,Data Analyst,Online Business/Internet-based Sales,Senior,< 25K, SQL
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,Python
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K, SQL
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,Python
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K, SQL
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K, Other
826,22-24,Man,China,Bachelor’s degree,Data Analyst,Academics/Education,Junior,,Python
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Python
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, C
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 25K,Python
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 25K, SQL
873,35-39,Man,Kenya,Master’s degree,Business Analyst,Academics/Education,Junior,< 25K,Python
873,35-39,Man,Kenya,Master’s degree,Business Analyst,Academics/Education,Junior,< 25K, SQL
873,35-39,Man,Kenya,Master’s degree,Business Analyst,Academics/Education,Junior,< 25K, MATLAB
881,22-24,Man,India,Master’s degree,Data Analyst,Academics/Education,Junior,,Python
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,Python
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K, SQL
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K,Python
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K, R
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K, SQL
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K, C
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K, C++
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K, Java
945,18-21,Woman,Viet Nam,Bachelor’s degree,Business Analyst,,Junior,,Python
945,18-21,Woman,Viet Nam,Bachelor’s degree,Business Analyst,,Junior,, R
945,18-21,Woman,Viet Nam,Bachelor’s degree,Business Analyst,,Junior,, SQL
945,18-21,Woman,Viet Nam,Bachelor’s degree,Business Analyst,,Junior,, Java
945,18-21,Woman,Viet Nam,Bachelor’s degree,Business Analyst,,Junior,, Javascript
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Python
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, SQL
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, C
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, Java
951,30-34,Woman,Russia,Master’s degree,Data Analyst,Online Service/Internet-based Services,Mid,25K - 50K,Python
951,30-34,Woman,Russia,Master’s degree,Data Analyst,Online Service/Internet-based Services,Mid,25K - 50K, SQL
959,25-29,Man,Japan,No formal education past high school,Business Analyst,Government/Public Service,Junior,< 25K,Python
959,25-29,Man,Japan,No formal education past high school,Business Analyst,Government/Public Service,Junior,< 25K, Other
965,40-44,Man,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Python
965,40-44,Man,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, R
965,40-44,Man,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, SQL
965,40-44,Man,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, Java
969,18-21,Woman,India,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 25K,Python
969,18-21,Woman,India,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 25K, SQL
969,18-21,Woman,India,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 25K, C
969,18-21,Woman,India,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 25K, MATLAB
972,22-24,Man,India,Bachelor’s degree,Data Analyst,Accounting/Finance,Sin experiencia,< 25K,
978,25-29,Woman,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K,Python
978,25-29,Woman,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K, SQL
978,25-29,Woman,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K, Other
979,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,> 200K,Python
979,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,> 200K, SQL
