index,age,gender,country,education,role,field,cat_experience,cat_salary,notebooks_unido
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,Colab Notebooks
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,Azure Notebooks
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K, Amazon EMR Notebooks 
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,Google Cloud Datalab
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K, Databricks Collaborative Notebooks 
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K,Colab Notebooks
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K, Kaggle Notebooks
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K, Amazon EMR Notebooks 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Google Cloud Notebooks (AI Platform / Vertex AI) 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Google Cloud Datalab
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K, Databricks Collaborative Notebooks 
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K, IBM Watson Studio 
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Google Cloud Datalab
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K, Kaggle Notebooks
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K,Colab Notebooks
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 25K, Kaggle Notebooks
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K, Kaggle Notebooks
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,Colab Notebooks
462,18-21,Man,China,Master’s degree,Business Analyst,Academics/Education,Senior,< 25K,Other
467,25-29,Woman,India,Master’s degree,Data Analyst,Retail/Sales,Junior,< 25K,Other
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K, Kaggle Notebooks
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Colab Notebooks
521,35-39,Man,China,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K, Amazon Sagemaker Studio Notebooks 
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Colab Notebooks
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Google Cloud Datalab
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,25K - 50K, Kaggle Notebooks
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,25K - 50K,Colab Notebooks
541,22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Shipping/Transportation,Junior,,Google Cloud Datalab
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, Kaggle Notebooks
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud Datalab
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud Datalab
587,35-39,Man,Kenya,Bachelor’s degree,Data Analyst,,Junior,, Kaggle Notebooks
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Colab Notebooks
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Amazon Sagemaker Studio Notebooks 
603,25-29,Man,Russia,Master’s degree,Business Analyst,Computers/Technology,Junior,,Other
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Colab Notebooks
608,25-29,Man,Other,Master’s degree,Business Analyst,Other,Junior,25K - 50K, Kaggle Notebooks
612,45-49,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Senior+,,Google Cloud Notebooks (AI Platform / Vertex AI) 
624,18-21,Woman,China,I prefer not to answer,Data Analyst,Academics/Education,Junior,< 25K, Amazon EMR Notebooks 
624,18-21,Woman,China,I prefer not to answer,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud Datalab
638,30-34,Man,Russia,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K, Kaggle Notebooks
638,30-34,Man,Russia,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Colab Notebooks
644,35-39,Man,China,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 25K,Colab Notebooks
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, Kaggle Notebooks
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Colab Notebooks
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, Deepnote Notebooks 
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K, Kaggle Notebooks
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K, Kaggle Notebooks
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K, IBM Watson Studio 
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K, Kaggle Notebooks
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K,Colab Notebooks
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Colab Notebooks
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 25K, Kaggle Notebooks
723,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
723,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
727,18-21,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Data Analyst,,Senior+,, Kaggle Notebooks
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K, Kaggle Notebooks
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Azure Notebooks
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Google Cloud Datalab
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K, Kaggle Notebooks
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Colab Notebooks
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Azure Notebooks
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K, Amazon Sagemaker Studio Notebooks 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Google Cloud Datalab
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K, Databricks Collaborative Notebooks 
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Colab Notebooks
763,30-34,Woman,Nigeria,Master’s degree,Data Analyst,Energy/Mining,Junior,< 25K,Other
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 25K,Azure Notebooks
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 25K,Google Cloud Datalab
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 25K, Zeppelin / Zepl Notebooks 
784,25-29,Man,Russia,No formal education past high school,Data Analyst,Online Business/Internet-based Sales,Senior,< 25K, Kaggle Notebooks
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K, Binder / JupyterHub 
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K, Kaggle Notebooks
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,Colab Notebooks
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, Kaggle Notebooks
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 25K, Kaggle Notebooks
873,35-39,Man,Kenya,Master’s degree,Business Analyst,Academics/Education,Junior,< 25K, Kaggle Notebooks
881,22-24,Man,India,Master’s degree,Data Analyst,Academics/Education,Junior,,Colab Notebooks
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,Colab Notebooks
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K,Azure Notebooks
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Other
965,40-44,Man,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, Kaggle Notebooks
965,40-44,Man,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Colab Notebooks
965,40-44,Man,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, Binder / JupyterHub 
969,18-21,Woman,India,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 25K, Kaggle Notebooks
978,25-29,Woman,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K, Kaggle Notebooks
978,25-29,Woman,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
978,25-29,Woman,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K,Google Cloud Datalab
979,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,> 200K,Colab Notebooks
980,30-34,Man,Egypt,Master’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K, Kaggle Notebooks
994,30-34,Man,China,Master’s degree,Data Analyst,Energy/Mining,Mid,50K - 100K, Kaggle Notebooks
994,30-34,Man,China,Master’s degree,Data Analyst,Energy/Mining,Mid,50K - 100K,Azure Notebooks
994,30-34,Man,China,Master’s degree,Data Analyst,Energy/Mining,Mid,50K - 100K, IBM Watson Studio 
996,25-29,Man,India,Master’s degree,Business Analyst,,Junior,,Colab Notebooks
996,25-29,Man,India,Master’s degree,Business Analyst,,Junior,,Google Cloud Datalab
1008,30-34,Woman,South Korea,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
1019,45-49,Man,Peru,Master’s degree,Business Analyst,Computers/Technology,Senior+,< 25K, IBM Watson Studio 
1019,45-49,Man,Peru,Master’s degree,Business Analyst,Computers/Technology,Senior+,< 25K, Amazon Sagemaker Studio Notebooks 
1019,45-49,Man,Peru,Master’s degree,Business Analyst,Computers/Technology,Senior+,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
1019,45-49,Man,Peru,Master’s degree,Business Analyst,Computers/Technology,Senior+,< 25K,Google Cloud Datalab
1048,30-34,Woman,Nigeria,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud Datalab
1058,30-34,Man,Taiwan,Master’s degree,Data Analyst,Broadcasting/Communications,Senior,< 25K,Colab Notebooks
1058,30-34,Man,Taiwan,Master’s degree,Data Analyst,Broadcasting/Communications,Senior,< 25K,Google Cloud Datalab
1070,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, Kaggle Notebooks
1070,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
1089,30-34,Man,United States of America,Bachelor’s degree,Data Analyst,,Junior,, Kaggle Notebooks
1089,30-34,Man,United States of America,Bachelor’s degree,Data Analyst,,Junior,,Google Cloud Notebooks (AI Platform / Vertex AI) 
1089,30-34,Man,United States of America,Bachelor’s degree,Data Analyst,,Junior,,Google Cloud Datalab
1107,25-29,Man,Egypt,Bachelor’s degree,Business Analyst,Broadcasting/Communications,Mid,< 25K, Kaggle Notebooks
1127,30-34,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Senior,< 25K, Kaggle Notebooks
1127,30-34,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Senior,< 25K,Colab Notebooks
1136,25-29,Man,China,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K, Kaggle Notebooks
1136,25-29,Man,China,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Colab Notebooks
1142,18-21,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Colab Notebooks
1142,18-21,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Amazon Sagemaker Studio Notebooks 
1143,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Google Cloud Datalab
1143,22-24,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Other
1159,30-34,Man,Turkey,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Other
1178,50-54,Man,South Korea,Professional doctorate,Business Analyst,Academics/Education,Senior,50K - 100K, Kaggle Notebooks
1178,50-54,Man,South Korea,Professional doctorate,Business Analyst,Academics/Education,Senior,50K - 100K,Colab Notebooks
1198,60-69,Man,Taiwan,Doctoral degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
1235,25-29,Man,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,Colab Notebooks
1270,30-34,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Colab Notebooks
1270,30-34,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Google Cloud Datalab
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K, Kaggle Notebooks
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K,Colab Notebooks
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K,Azure Notebooks
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K, Paperspace / Gradient 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K, Binder / JupyterHub 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K, Code Ocean 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K, IBM Watson Studio 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K, Amazon Sagemaker Studio Notebooks 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K, Amazon EMR Notebooks 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K,Google Cloud Datalab
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K, Databricks Collaborative Notebooks 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K, Zeppelin / Zepl Notebooks 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K, Deepnote Notebooks 
1281,35-39,Man,United States of America,Master’s degree,Business Analyst,Retail/Sales,Senior+,< 25K, Observable Notebooks 
1308,35-39,Woman,Nigeria,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
1308,35-39,Woman,Nigeria,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Colab Notebooks
1345,30-34,Woman,Russia,Master’s degree,Business Analyst,Computers/Technology,Senior,< 25K, Kaggle Notebooks
1345,30-34,Woman,Russia,Master’s degree,Business Analyst,Computers/Technology,Senior,< 25K, IBM Watson Studio 
1351,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Retail/Sales,Senior+,25K - 50K, Kaggle Notebooks
1368,22-24,Woman,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,, Kaggle Notebooks
1376,25-29,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
1378,30-34,Man,Saudi Arabia,Bachelor’s degree,Business Analyst,Academics/Education,Junior,< 25K, Databricks Collaborative Notebooks 
1382,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Mid,< 25K, Kaggle Notebooks
1382,22-24,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Mid,< 25K,Colab Notebooks
1385,45-49,Man,Spain,Bachelor’s degree,Data Analyst,Government/Public Service,Senior,50K - 100K, Kaggle Notebooks
1404,25-29,Man,France,Master’s degree,Business Analyst,Manufacturing/Fabrication,Mid,100K - 200K, Kaggle Notebooks
1415,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, Kaggle Notebooks
1415,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, Binder / JupyterHub 
1415,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Google Cloud Datalab
1421,40-44,Man,Ukraine,Master’s degree,Data Analyst,Other,Mid,,Google Cloud Datalab
1440,35-39,Man,Nigeria,Doctoral degree,Business Analyst,Accounting/Finance,Mid,50K - 100K, Kaggle Notebooks
1440,35-39,Man,Nigeria,Doctoral degree,Business Analyst,Accounting/Finance,Mid,50K - 100K,Google Cloud Datalab
1465,22-24,Man,India,Bachelor’s degree,Business Analyst,Other,Senior,< 25K,Colab Notebooks
1475,30-34,Man,South Korea,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
1475,30-34,Man,South Korea,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Other
1482,22-24,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, IBM Watson Studio 
1521,60-69,Man,Other,Doctoral degree,Business Analyst,Marketing/CRM,Junior,< 25K,Google Cloud Datalab
1523,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
1525,30-34,Man,Nigeria,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
1525,30-34,Man,Nigeria,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud Datalab
1526,35-39,Man,Turkey,Master’s degree,Business Analyst,Broadcasting/Communications,Mid,< 25K, Kaggle Notebooks
1526,35-39,Man,Turkey,Master’s degree,Business Analyst,Broadcasting/Communications,Mid,< 25K,Colab Notebooks
1526,35-39,Man,Turkey,Master’s degree,Business Analyst,Broadcasting/Communications,Mid,< 25K,Google Cloud Datalab
1535,22-24,Man,India,Master’s degree,Business Analyst,Other,Junior,< 25K,Colab Notebooks
1540,18-21,Woman,India,Bachelor’s degree,Data Analyst,Other,Mid,< 25K,Colab Notebooks
1540,18-21,Woman,India,Bachelor’s degree,Data Analyst,Other,Mid,< 25K, Binder / JupyterHub 
1540,18-21,Woman,India,Bachelor’s degree,Data Analyst,Other,Mid,< 25K,Google Cloud Datalab
1556,30-34,Man,Chile,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Senior,< 25K, Kaggle Notebooks
1556,30-34,Man,Chile,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Senior,< 25K,Colab Notebooks
1562,25-29,Man,Nigeria,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Azure Notebooks
1568,35-39,Man,India,Master’s degree,Business Analyst,Academics/Education,Senior+,100K - 200K,Colab Notebooks
