index,age,gender,country,education,role,field,cat_experience,cat_salary,courses_unido
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,University Courses (resulting in a university degree)
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,Coursera
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,Kaggle Learn Courses
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,LinkedIn Learning
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,University Courses (resulting in a university degree)
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Coursera
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,edX
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Kaggle Learn Courses
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Udemy
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,LinkedIn Learning
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K,Coursera
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K,edX
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K,DataCamp
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K,Udemy
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,Coursera
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,edX
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,Kaggle Learn Courses
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,Fast.ai
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,Udacity
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,Udemy
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,University Courses (resulting in a university degree)
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Coursera
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Kaggle Learn Courses
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Udemy
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Udemy
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,edX
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Udemy
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Coursera
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Kaggle Learn Courses
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,DataCamp
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,LinkedIn Learning
295,45-49,Man,Other,Master’s degree,Business Analyst,Government/Public Service,Junior,< 25K,Other
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,25K - 50K,Kaggle Learn Courses
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,25K - 50K,University Courses (resulting in a university degree)
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,Coursera
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,Kaggle Learn Courses
311,22-24,Man,China,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Coursera
311,22-24,Man,China,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Kaggle Learn Courses
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Udemy
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Other
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,Udacity
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,University Courses (resulting in a university degree)
375,25-29,Woman,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Udemy
396,50-54,Man,Spain,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Junior,50K - 100K,edX
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,Coursera
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,Udemy
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,University Courses (resulting in a university degree)
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K,Coursera
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K,Fast.ai
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Coursera
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Udemy
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Coursera
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,University Courses (resulting in a university degree)
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K,Coursera
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K,Kaggle Learn Courses
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K,University Courses (resulting in a university degree)
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Coursera
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Kaggle Learn Courses
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K,Coursera
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K,DataCamp
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K,Udacity
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K,University Courses (resulting in a university degree)
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,Coursera
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,Kaggle Learn Courses
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,DataCamp
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,Udacity
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,LinkedIn Learning
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,DataCamp
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,LinkedIn Learning
462,18-21,Man,China,Master’s degree,Business Analyst,Academics/Education,Senior,< 25K,edX
462,18-21,Man,China,Master’s degree,Business Analyst,Academics/Education,Senior,< 25K,Fast.ai
462,18-21,Man,China,Master’s degree,Business Analyst,Academics/Education,Senior,< 25K,Other
467,25-29,Woman,India,Master’s degree,Data Analyst,Retail/Sales,Junior,< 25K,University Courses (resulting in a university degree)
477,22-24,Woman,India,Bachelor’s degree,Data Analyst,Other,Sin experiencia,< 25K,Coursera
477,22-24,Woman,India,Bachelor’s degree,Data Analyst,Other,Sin experiencia,< 25K,Udemy
477,22-24,Woman,India,Bachelor’s degree,Data Analyst,Other,Sin experiencia,< 25K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,DataCamp
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Udemy
521,35-39,Man,China,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Coursera
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Coursera
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Kaggle Learn Courses
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,DataCamp
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Udemy
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,25K - 50K,Kaggle Learn Courses
560,30-34,Man,Japan,Some college/university study without earning a bachelor’s degree,Business Analyst,Retail/Sales,Junior,< 25K,Udemy
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Coursera
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Kaggle Learn Courses
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,DataCamp
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Udemy
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,LinkedIn Learning
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Kaggle Learn Courses
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,DataCamp
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Other
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Coursera
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Kaggle Learn Courses
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Coursera
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Udemy
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,University Courses (resulting in a university degree)
608,25-29,Man,Other,Master’s degree,Business Analyst,Other,Junior,25K - 50K,Coursera
608,25-29,Man,Other,Master’s degree,Business Analyst,Other,Junior,25K - 50K,edX
608,25-29,Man,Other,Master’s degree,Business Analyst,Other,Junior,25K - 50K,Kaggle Learn Courses
624,18-21,Woman,China,I prefer not to answer,Data Analyst,Academics/Education,Junior,< 25K,Coursera
644,35-39,Man,China,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 25K,LinkedIn Learning
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Other
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K,Kaggle Learn Courses
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K,DataCamp
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K,Udemy
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K,University Courses (resulting in a university degree)
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,Coursera
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,Kaggle Learn Courses
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,Udemy
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,< 25K,DataCamp
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,< 25K,Udacity
681,18-21,Man,Viet Nam,Master’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,< 25K,Coursera
681,18-21,Man,Viet Nam,Master’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,< 25K,Kaggle Learn Courses
681,18-21,Man,Viet Nam,Master’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,< 25K,DataCamp
681,18-21,Man,Viet Nam,Master’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,< 25K,Udemy
681,18-21,Man,Viet Nam,Master’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,< 25K,LinkedIn Learning
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K,Kaggle Learn Courses
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K,Udacity
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Coursera
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Udemy
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,LinkedIn Learning
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 25K,edX
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 25K,DataCamp
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,25K - 50K,Coursera
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,25K - 50K,DataCamp
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,25K - 50K,Udacity
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,25K - 50K,Udemy
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K,Kaggle Learn Courses
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K,Other
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Coursera
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,edX
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Udemy
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,LinkedIn Learning
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Coursera
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,edX
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Kaggle Learn Courses
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,DataCamp
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Udacity
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Udemy
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,LinkedIn Learning
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Coursera
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Kaggle Learn Courses
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Coursera
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Kaggle Learn Courses
763,30-34,Woman,Nigeria,Master’s degree,Data Analyst,Energy/Mining,Junior,< 25K,Coursera
772,30-34,Woman,Other,Master’s degree,Data Analyst,Marketing/CRM,Mid,< 25K,Coursera
772,30-34,Woman,Other,Master’s degree,Data Analyst,Marketing/CRM,Mid,< 25K,edX
772,30-34,Woman,Other,Master’s degree,Data Analyst,Marketing/CRM,Mid,< 25K,Kaggle Learn Courses
772,30-34,Woman,Other,Master’s degree,Data Analyst,Marketing/CRM,Mid,< 25K,Udemy
772,30-34,Woman,Other,Master’s degree,Data Analyst,Marketing/CRM,Mid,< 25K,LinkedIn Learning
772,30-34,Woman,Other,Master’s degree,Data Analyst,Marketing/CRM,Mid,< 25K,University Courses (resulting in a university degree)
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 25K,Udemy
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 25K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
779,25-29,Woman,India,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,"Cloud-certification programs (direct from AWS, Azure, GCP, or similar)"
784,25-29,Man,Russia,No formal education past high school,Data Analyst,Online Business/Internet-based Sales,Senior,< 25K,Coursera
784,25-29,Man,Russia,No formal education past high school,Data Analyst,Online Business/Internet-based Sales,Senior,< 25K,Kaggle Learn Courses
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,Coursera
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,DataCamp
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,LinkedIn Learning
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Coursera
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Kaggle Learn Courses
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,University Courses (resulting in a university degree)
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 25K,Udacity
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 25K,LinkedIn Learning
873,35-39,Man,Kenya,Master’s degree,Business Analyst,Academics/Education,Junior,< 25K,Coursera
873,35-39,Man,Kenya,Master’s degree,Business Analyst,Academics/Education,Junior,< 25K,Kaggle Learn Courses
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,Coursera
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,edX
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,Kaggle Learn Courses
