index,time,age,gender
250,449,30-34,Woman
251,320,22-24,Man
252,767,35-39,Woman
253,667,55-59,Woman
254,170,40-44,Man
255,991,30-34,Man
256,1846,22-24,Man
257,732,25-29,Woman
258,566,60-69,Man
259,1075,50-54,Man
260,442,35-39,Man
261,1469,30-34,Man
262,526,30-34,Man
263,824,25-29,Woman
264,922,35-39,Man
265,378,35-39,Woman
266,1945,45-49,Prefer not to say
267,578,18-21,Man
268,237,22-24,Man
269,756,25-29,Woman
270,599,25-29,Woman
271,480,25-29,Man
272,264,25-29,Man
273,4088,45-49,Man
274,1066,25-29,Man
275,509,22-24,Man
276,187,22-24,Man
277,372,22-24,Man
278,356,25-29,Woman
279,445,22-24,Man
280,841,35-39,Man
281,569,18-21,Woman
282,984,40-44,Man
283,85290,50-54,Man
284,3143,30-34,Man
285,1159,45-49,Woman
286,5097,22-24,Man
287,501,35-39,Woman
288,622,25-29,Man
289,785,35-39,Man
290,489,22-24,Woman
291,1984,18-21,Woman
292,1112,22-24,Man
293,904,18-21,Man
294,2403,22-24,Man
295,29434,45-49,Man
296,489,30-34,Woman
297,843,50-54,Man
298,42500,40-44,Man
299,266,50-54,Man
300,1390,30-34,Woman
301,887,25-29,Prefer not to say
302,662,22-24,Woman
303,559,25-29,Man
304,774,25-29,Woman
305,603,45-49,Man
306,550,30-34,Man
307,3074,30-34,Nonbinary
308,161,25-29,Woman
309,828,35-39,Woman
310,994,60-69,Man
311,545,22-24,Man
312,544,18-21,Woman
313,358,60-69,Man
314,364,25-29,Man
315,771,40-44,Man
316,345,35-39,Woman
317,231,22-24,Woman
318,255,18-21,Man
319,6005,25-29,Woman
320,245,18-21,Man
321,166328,25-29,Man
322,1072,40-44,Man
323,1272,35-39,Man
324,434,40-44,Man
325,4573,25-29,Man
326,584,30-34,Woman
327,979,35-39,Man
328,166,22-24,Man
329,673,35-39,Man
330,230,18-21,Man
331,39789,25-29,Woman
332,3588,40-44,Man
333,784,22-24,Man
334,642,25-29,Man
335,1028,35-39,Man
336,1508,45-49,Man
337,151,35-39,Man
338,867,25-29,Man
339,451,40-44,Man
340,429,25-29,Woman
341,1135,18-21,Man
342,799,70+,Man
343,454,50-54,Man
344,424,18-21,Man
345,1089,30-34,Man
346,749,55-59,Man
347,496,35-39,Man
348,505,18-21,Woman
349,5394,18-21,Man
350,319,18-21,Man
351,639,25-29,Man
352,405,22-24,Man
353,808,30-34,Man
354,1011,30-34,Man
355,780,30-34,Man
356,642,40-44,Man
357,623,35-39,Man
358,450,25-29,Man
359,951,22-24,Man
360,244,25-29,Woman
361,365,22-24,Man
362,589,55-59,Man
363,502,35-39,Man
364,1276,18-21,Man
365,2017,25-29,Woman
366,700561,18-21,Woman
367,415,25-29,Man
368,2355,25-29,Man
369,699,35-39,Man
370,1724,18-21,Man
371,454,25-29,Man
372,997,50-54,Man
373,3411,35-39,Man
374,569,45-49,Man
375,1254,25-29,Woman
376,1507,60-69,Man
377,569,25-29,Man
378,1020,60-69,Man
379,945,22-24,Man
380,1028,25-29,Man
381,585,22-24,Man
382,1489,25-29,Woman
383,392,18-21,Woman
384,3301,35-39,Man
385,257,18-21,Man
386,973,45-49,Man
387,458,25-29,Woman
388,353,18-21,Prefer not to say
389,987,40-44,Man
390,1208,25-29,Man
391,482,50-54,Man
392,788,25-29,Man
393,521,35-39,Man
394,1114,50-54,Woman
395,1133,18-21,Man
396,856,50-54,Man
397,974,50-54,Man
398,358,18-21,Man
399,602,35-39,Man
400,610,18-21,Man
401,1755,40-44,Man
402,733,22-24,Woman
403,984,35-39,Woman
404,1155,25-29,Woman
405,4082,25-29,Man
406,918,25-29,Man
407,779,18-21,Woman
408,394,40-44,Man
409,670,30-34,Man
410,2239,55-59,Woman
411,2377,25-29,Man
412,572,22-24,Man
413,913,22-24,Man
414,764,25-29,Man
415,601,45-49,Woman
416,663,30-34,Man
417,659,30-34,Man
418,1497,30-34,Man
419,3356,25-29,Man
420,838,25-29,Woman
421,270,22-24,Man
422,943,40-44,Prefer not to say
423,1877,35-39,Man
424,914,25-29,Man
425,1441,45-49,Man
426,310,18-21,Woman
427,1003,35-39,Woman
428,481,18-21,Man
429,639,40-44,Man
430,616,30-34,Woman
431,704,30-34,Woman
432,899193,18-21,Man
433,899,35-39,Man
434,572,25-29,Man
435,330,22-24,Man
436,1080,30-34,Man
437,8327,22-24,Man
438,403,22-24,Man
439,448,22-24,Man
440,541,22-24,Man
441,883,18-21,Man
442,155,18-21,Man
443,995,18-21,Man
444,772,30-34,Man
445,448,25-29,Man
446,2046,30-34,Man
447,642,22-24,Man
448,703,35-39,Woman
449,994,22-24,Prefer to self-describe
450,316,18-21,Man
451,1004,30-34,Man
452,1556,40-44,Man
453,447,30-34,Man
454,387,25-29,Man
455,1230,22-24,Man
456,447,18-21,Man
457,644,35-39,Man
458,689,22-24,Man
459,628,30-34,Man
460,439,22-24,Man
461,605,30-34,Woman
462,208,18-21,Man
463,820,30-34,Man
464,224,40-44,Man
465,319,25-29,Man
466,1549,50-54,Man
467,658,25-29,Woman
468,395,25-29,Man
469,1459,25-29,Man
470,1374,18-21,Man
471,11771,30-34,Man
472,774,45-49,Man
473,584,35-39,Man
474,22868,30-34,Man
475,323,45-49,Man
476,414,18-21,Man
477,1927,22-24,Woman
478,293,35-39,Man
479,501,22-24,Woman
480,248332,25-29,Woman
481,948,35-39,Man
482,964611,50-54,Woman
483,909,18-21,Man
484,1259,25-29,Man
485,387,22-24,Man
486,834,35-39,Prefer not to say
487,781,35-39,Man
488,1721,30-34,Man
489,534,45-49,Man
490,652,40-44,Man
491,756,45-49,Man
492,390,22-24,Man
493,223,18-21,Woman
494,492,25-29,Man
495,680,18-21,Woman
496,1405,35-39,Man
497,1073,22-24,Man
498,926,55-59,Man
499,426,22-24,Man
500,267,22-24,Man
501,198,30-34,Man
502,410,18-21,Man
503,874,25-29,Man
504,539,30-34,Woman
505,439,60-69,Man
506,605,45-49,Man
507,599,25-29,Man
508,274,25-29,Man
509,444,18-21,Woman
510,2696,35-39,Man
511,1283,25-29,Man
512,359,18-21,Woman
513,503,35-39,Woman
514,27716,18-21,Woman
515,679,22-24,Man
516,803,25-29,Man
517,850,50-54,Man
518,553,45-49,Man
519,373,50-54,Man
520,86661,25-29,Man
521,569,35-39,Man
522,411,18-21,Man
523,957,18-21,Man
524,738,35-39,Man
525,1008,25-29,Man
526,399,18-21,Man
527,537,55-59,Man
528,152,18-21,Man
529,667,22-24,Woman
530,1464,40-44,Man
531,985,40-44,Man
532,726,25-29,Man
533,627,22-24,Man
534,738,22-24,Man
535,1149,60-69,Man
536,536,25-29,Man
537,682,18-21,Man
538,608,22-24,Man
539,638,22-24,Man
540,1156,35-39,Man
541,304,22-24,Man
542,155,18-21,Man
543,233,18-21,Man
544,205,25-29,Man
545,390,35-39,Man
546,2272,55-59,Man
547,532,35-39,Man
548,733,18-21,Man
549,764,30-34,Man
550,554,18-21,Man
551,674,22-24,Man
552,310,22-24,Man
553,358,18-21,Woman
554,613,35-39,Man
555,384,25-29,Woman
556,410,35-39,Man
557,288,22-24,Man
558,565,22-24,Woman
559,386,30-34,Man
560,664,30-34,Man
561,1691,35-39,Woman
562,446,45-49,Man
563,414,25-29,Man
564,267,22-24,Man
565,714,18-21,Woman
566,3316,30-34,Man
567,355,18-21,Man
568,666,40-44,Man
569,1452,18-21,Man
570,1035,22-24,Man
571,295,22-24,Man
572,140,22-24,Man
573,237,22-24,Man
574,1371,35-39,Man
575,1332,25-29,Man
576,525,30-34,Man
577,654,18-21,Man
578,208,22-24,Man
579,496,30-34,Man
580,382,25-29,Man
581,809,22-24,Woman
582,572,22-24,Man
583,991,25-29,Man
584,385,25-29,Woman
585,422,22-24,Man
586,255,30-34,Man
587,535,35-39,Man
588,2926,22-24,Man
589,1133,50-54,Man
590,237,25-29,Man
591,189,60-69,Man
592,163,18-21,Man
593,741,25-29,Man
594,611,22-24,Man
595,441,22-24,Woman
596,813,50-54,Man
597,2252,22-24,Man
598,1846,22-24,Woman
599,3882,25-29,Man
600,768,25-29,Man
601,17328,30-34,Man
602,472,60-69,Man
603,581,25-29,Man
604,820,40-44,Man
605,762,35-39,Man
606,1208,30-34,Man
607,696,25-29,Man
608,566,25-29,Man
609,981,18-21,Man
610,963,40-44,Man
611,598,40-44,Man
612,1483,45-49,Man
613,23841,50-54,Man
614,169,18-21,Man
615,1771,50-54,Man
616,631,18-21,Man
617,635,22-24,Man
618,610,22-24,Man
619,1983595,35-39,Woman
620,245,22-24,Man
621,320,22-24,Man
622,298,22-24,Man
623,308,30-34,Woman
624,376,18-21,Woman
625,1391,25-29,Woman
626,606,25-29,Woman
627,539,22-24,Man
628,652,25-29,Man
629,199,25-29,Man
630,1262,55-59,Man
631,352,22-24,Man
632,428,30-34,Man
633,630599,22-24,Woman
634,741,30-34,Man
635,424,25-29,Man
636,776,25-29,Man
637,738,35-39,Woman
638,355,30-34,Man
639,21603,22-24,Man
640,849,35-39,Man
641,1134,18-21,Man
642,319,25-29,Man
643,438,25-29,Man
644,547,35-39,Man
645,1151,30-34,Woman
646,887,25-29,Man
647,611,30-34,Man
648,415,55-59,Man
649,354,40-44,Woman
650,395,22-24,Woman
651,845,35-39,Man
652,1455,22-24,Man
653,440,60-69,Man
654,797,30-34,Man
655,787,25-29,Man
656,668,30-34,Man
657,4407,35-39,Man
658,735,70+,Man
659,234,18-21,Man
660,2282,22-24,Woman
661,439,35-39,Woman
662,749,60-69,Man
663,606,25-29,Man
664,659,35-39,Man
665,397,22-24,Man
666,625,22-24,Man
667,1436,22-24,Man
668,778,30-34,Man
669,489,22-24,Man
670,1204,50-54,Man
671,654,40-44,Man
672,315,30-34,Man
673,860,30-34,Man
674,8000,45-49,Man
675,757,50-54,Man
676,508,30-34,Woman
677,23282,30-34,Man
678,345,45-49,Man
679,687,25-29,Man
680,144,18-21,Man
681,1134,18-21,Man
682,2042,25-29,Man
683,1105,40-44,Prefer not to say
684,413,22-24,Man
685,539,35-39,Man
686,788,25-29,Woman
687,539,22-24,Woman
688,567,30-34,Man
689,949,30-34,Woman
690,490,18-21,Man
691,113846,18-21,Man
692,383,22-24,Man
693,1215,35-39,Man
694,454,25-29,Man
695,675,25-29,Man
696,791,30-34,Prefer not to say
697,441,18-21,Woman
698,1836,45-49,Man
699,1024,22-24,Man
700,647,35-39,Man
701,152,18-21,Man
702,324,18-21,Woman
703,1162,25-29,Woman
704,967,40-44,Woman
705,1010,60-69,Man
706,270,25-29,Man
707,2867,50-54,Man
708,2185,22-24,Man
709,1386,22-24,Woman
710,632,40-44,Man
711,743,50-54,Man
712,671,25-29,Man
713,703,60-69,Man
714,1171,40-44,Man
715,574,22-24,Man
716,742,35-39,Man
717,297,18-21,Woman
718,410,18-21,Man
719,1620,30-34,Woman
720,10441,35-39,Man
721,431,35-39,Man
722,495,45-49,Man
723,217,25-29,Woman
724,1255,35-39,Woman
725,1840,18-21,Man
726,419,22-24,Man
727,203,18-21,Woman
728,1169,22-24,Woman
729,879,22-24,Woman
730,999,30-34,Man
731,515,18-21,Woman
732,788,22-24,Man
733,1232,40-44,Man
734,745,22-24,Man
735,446,30-34,Man
736,2053,30-34,Man
737,678,50-54,Man
738,593,18-21,Man
739,230,25-29,Man
740,724,45-49,Man
741,1096,45-49,Prefer not to say
742,145,18-21,Man
743,1119,40-44,Man
744,64328,35-39,Woman
745,676,55-59,Man
746,878,22-24,Prefer not to say
747,1312,35-39,Man
748,368,22-24,Woman
749,1510,45-49,Man
750,739,25-29,Woman
751,751,35-39,Man
752,15803,22-24,Man
753,248,18-21,Man
754,1159,30-34,Man
755,594,30-34,Man
756,2014,25-29,Man
757,625,30-34,Man
758,1072,30-34,Woman
759,2176,25-29,Man
760,419,22-24,Man
761,571,18-21,Man
762,430,45-49,Man
763,5455,30-34,Woman
764,1123,40-44,Man
765,637,35-39,Man
766,921,30-34,Man
767,519,30-34,Man
768,454,22-24,Man
769,224,22-24,Man
770,1973,18-21,Woman
771,8553,40-44,Man
772,647,30-34,Woman
773,392,35-39,Man
774,2458,22-24,Man
775,646,35-39,Man
776,397,25-29,Woman
777,1176,22-24,Man
778,578,18-21,Man
779,909,25-29,Woman
780,357,18-21,Woman
781,272,18-21,Woman
782,603,40-44,Man
783,341,25-29,Man
784,478,25-29,Man
785,823,25-29,Man
786,548,30-34,Man
787,349,30-34,Prefer not to say
788,330,18-21,Man
789,1162,18-21,Man
790,296,18-21,Man
791,314,22-24,Man
792,365,18-21,Woman
793,657,22-24,Man
794,293,25-29,Man
795,1017,18-21,Man
796,626,55-59,Man
797,494,18-21,Man
798,1441,30-34,Man
799,6970,25-29,Woman
800,366,25-29,Man
801,708,30-34,Man
802,687,25-29,Man
803,344,18-21,Woman
804,347,18-21,Man
805,862,60-69,Man
806,984,18-21,Man
807,8386,25-29,Man
808,221,22-24,Man
809,477,18-21,Man
810,725,30-34,Man
811,519,40-44,Woman
812,1241,35-39,Man
813,685,25-29,Man
814,477,22-24,Man
815,825,40-44,Man
816,503,18-21,Man
817,195,30-34,Man
818,1287362,22-24,Man
819,5784,25-29,Woman
820,459,25-29,Man
821,206,18-21,Man
822,186,22-24,Man
823,771,45-49,Man
824,778,18-21,Man
825,483,22-24,Man
826,465,22-24,Man
827,835,18-21,Woman
828,254,25-29,Man
829,5543,18-21,Man
830,617,22-24,Man
831,96873,25-29,Woman
832,239,18-21,Man
833,1671,30-34,Woman
834,834,30-34,Man
835,497,30-34,Man
836,379,30-34,Woman
837,634,25-29,Man
838,4040,22-24,Man
839,1305,45-49,Man
840,761,22-24,Man
841,811,50-54,Man
842,716,22-24,Man
843,404,18-21,Man
844,225,25-29,Man
845,796,22-24,Man
846,984,25-29,Man
847,624,60-69,Man
848,687,35-39,Man
849,1678,30-34,Man
850,481,35-39,Woman
851,214,22-24,Man
852,418,25-29,Man
853,312,25-29,Woman
854,608,40-44,Man
855,785,35-39,Man
856,1423,35-39,Man
857,504,35-39,Man
858,1450,45-49,Man
859,826,40-44,Man
860,902,35-39,Man
861,830,22-24,Man
862,1070,30-34,Man
863,308,25-29,Man
864,174416,50-54,Man
865,381,18-21,Man
866,693,30-34,Man
867,691,18-21,Man
868,366,18-21,Man
869,1000,55-59,Man
870,481,22-24,Man
871,520,30-34,Man
872,691,18-21,Man
873,752,35-39,Man
874,307,25-29,Man
875,506,60-69,Woman
876,138,18-21,Man
877,590,30-34,Man
878,449,22-24,Man
879,1217,25-29,Woman
880,714,18-21,Man
881,4584,22-24,Man
882,581,18-21,Woman
883,360,18-21,Man
884,49733,25-29,Man
885,995,30-34,Woman
886,32872,35-39,Man
887,344,35-39,Woman
888,1144,40-44,Man
889,646,25-29,Man
890,213,25-29,Man
891,329,40-44,Woman
892,433,25-29,Man
893,386,22-24,Man
894,1142,50-54,Man
895,474,35-39,Man
896,1096,35-39,Man
897,494,18-21,Man
898,648,45-49,Man
899,1831,18-21,Man
900,1327,18-21,Woman
901,366,30-34,Man
902,408,60-69,Man
903,461,18-21,Man
904,692,30-34,Man
905,393,22-24,Man
906,332,35-39,Man
907,826,45-49,Man
908,426,30-34,Man
909,802,40-44,Man
910,3434,40-44,Woman
911,388,35-39,Man
912,577,18-21,Man
913,483,22-24,Man
914,761,25-29,Man
915,3179,30-34,Man
916,7688,40-44,Man
917,775,22-24,Man
918,594,30-34,Man
919,862,22-24,Man
920,607,18-21,Man
921,557,22-24,Man
922,10121,18-21,Man
923,250,22-24,Man
924,945,55-59,Man
925,639,22-24,Man
926,140,25-29,Man
927,690,25-29,Man
928,1255,30-34,Man
929,810,70+,Man
930,789,40-44,Man
931,11688,25-29,Man
932,636,30-34,Man
933,1890,25-29,Man
934,1304,30-34,Man
935,878,60-69,Man
936,360,18-21,Woman
937,737,35-39,Man
938,19523,18-21,Woman
939,253,18-21,Man
940,230,18-21,Woman
941,371,25-29,Man
942,406,18-21,Woman
943,1769,25-29,Man
944,2639,45-49,Man
945,163,18-21,Woman
946,518,40-44,Man
947,168,18-21,Man
948,976,55-59,Man
949,1047088,18-21,Woman
950,1203,30-34,Man
951,725,30-34,Woman
952,2978,30-34,Man
953,519,45-49,Man
954,1709,40-44,Man
955,544,25-29,Man
956,357,18-21,Woman
957,477,25-29,Man
958,705,35-39,Woman
959,627,25-29,Man
960,123158,25-29,Man
961,280,50-54,Woman
962,472,25-29,Man
963,834,35-39,Man
964,542,22-24,Woman
965,605,40-44,Man
966,1592,40-44,Man
967,548,18-21,Man
968,653,45-49,Man
969,715,18-21,Woman
970,706,35-39,Man
971,658,30-34,Woman
972,296,22-24,Man
973,911,40-44,Woman
974,680,45-49,Man
975,602,25-29,Man
976,684,22-24,Man
977,1112,25-29,Man
978,455,25-29,Woman
979,497,25-29,Woman
980,342,30-34,Man
981,2308,25-29,Woman
982,677,40-44,Man
983,935,25-29,Woman
984,371,22-24,Woman
985,524,25-29,Man
986,271,18-21,Man
987,861,40-44,Woman
988,341,25-29,Man
989,575,45-49,Man
990,946,45-49,Man
991,3800,22-24,Man
992,263,25-29,Man
993,539,18-21,Woman
994,489,30-34,Man
995,4121,22-24,Man
996,226154,25-29,Man
997,516,35-39,Woman
998,1415,18-21,Man
999,167,25-29,Woman
1000,309,22-24,Woman
1001,4096,22-24,Woman
1002,622,30-34,Man
1003,2892,22-24,Man
1004,301,18-21,Man
1005,1433,25-29,Man
1006,678,35-39,Man
1007,2347,22-24,Man
1008,413,30-34,Woman
1009,297,22-24,Man
1010,452,22-24,Man
1011,980,35-39,Man
1012,2028,22-24,Woman
1013,1028,22-24,Man
1014,474,18-21,Woman
1015,250,22-24,Woman
1016,1564,35-39,Man
1017,886,25-29,Man
1018,692,25-29,Man
1019,1221,45-49,Man
1020,5301,35-39,Woman
1021,589,25-29,Man
1022,1374,25-29,Man
1023,434,35-39,Woman
1024,3655,30-34,Man
1025,590,35-39,Man
1026,580,25-29,Man
1027,1907,45-49,Man
1028,763,18-21,Man
1029,134,22-24,Man
1030,285,18-21,Man
1031,219,25-29,Woman
1032,596,25-29,Woman
1033,680,35-39,Woman
1034,693,22-24,Woman
1035,295,18-21,Man
1036,437,25-29,Woman
1037,889,40-44,Man
1038,300,22-24,Man
1039,765,18-21,Man
1040,758,22-24,Man
1041,438,22-24,Man
1042,722,22-24,Man
1043,2387,50-54,Man
1044,133,22-24,Man
1045,613,25-29,Man
1046,616,40-44,Man
1047,406,18-21,Woman
1048,1277,30-34,Woman
1049,1876,18-21,Man
1050,444,30-34,Man
1051,665,35-39,Woman
1052,376,18-21,Man
1053,226,18-21,Man
1054,305,18-21,Man
1055,533,30-34,Woman
1056,215,22-24,Man
1057,732,25-29,Man
1058,736,30-34,Man
1059,545,18-21,Man
1060,290,45-49,Woman
1061,749,22-24,Woman
1062,563,25-29,Man
1063,1130,22-24,Man
1064,579,30-34,Man
1065,196,70+,Man
1066,583,22-24,Man
1067,391,40-44,Man
1068,301,25-29,Man
1069,794,60-69,Man
1070,3312,18-21,Man
1071,546,30-34,Man
1072,1231,25-29,Man
1073,877,22-24,Man
1074,406,25-29,Man
1075,1105,22-24,Man
1076,650,40-44,Man
1077,149,25-29,Woman
1078,1251,30-34,Man
1079,916,40-44,Man
1080,335,18-21,Man
1081,494,22-24,Man
1082,529,45-49,Man
1083,752,40-44,Woman
1084,293,18-21,Man
1085,739,22-24,Man
1086,324,18-21,Man
1087,688,35-39,Man
1088,512,25-29,Man
1089,151,30-34,Man
1090,1968,30-34,Woman
1091,460,18-21,Man
1092,989,25-29,Man
1093,203,18-21,Man
1094,586,22-24,Man
1095,432,25-29,Man
1096,1839,22-24,Man
1097,2308,30-34,Woman
1098,653,30-34,Man
1099,702,30-34,Man
1100,902,22-24,Man
1101,2832,55-59,Man
1102,525,35-39,Man
1103,388,25-29,Woman
1104,799,60-69,Man
1105,641,55-59,Man
1106,290,18-21,Man
1107,1590,25-29,Man
1108,610,18-21,Man
1109,920,35-39,Man
1110,209,25-29,Man
1111,500,18-21,Man
1112,743,30-34,Man
1113,539,25-29,Woman
1114,829,25-29,Man
1115,789,22-24,Man
1116,800,50-54,Man
1117,617,22-24,Man
1118,628,50-54,Man
1119,521,50-54,Man
1120,809,25-29,Woman
1121,402,30-34,Woman
1122,649,35-39,Woman
1123,11633,22-24,Man
1124,825,30-34,Woman
1125,867,45-49,Man
1126,459,50-54,Man
1127,496,30-34,Woman
1128,396,18-21,Man
1129,447,50-54,Man
1130,1835,30-34,Woman
1131,762,25-29,Man
1132,2036,25-29,Woman
1133,464,35-39,Man
1134,2392,35-39,Man
1135,386,25-29,Woman
1136,740,25-29,Man
1137,1121,25-29,Man
1138,1234,35-39,Man
1139,1154,40-44,Woman
1140,434,25-29,Man
1141,522,30-34,Man
1142,3595,18-21,Man
1143,2218,22-24,Man
1144,1217,25-29,Woman
1145,423,22-24,Man
1146,586,30-34,Man
1147,934,40-44,Man
1148,556,35-39,Woman
1149,584,45-49,Man
1150,241,22-24,Man
1151,511,50-54,Man
1152,559,22-24,Man
1153,1076,45-49,Man
1154,186,22-24,Man
1155,450,18-21,Man
1156,969,25-29,Man
1157,304,25-29,Man
1158,1588,18-21,Man
1159,663,30-34,Man
1160,2243,60-69,Man
1161,314,18-21,Man
1162,1104,50-54,Man
1163,992,22-24,Woman
1164,538,35-39,Man
1165,2306,25-29,Man
1166,169110,40-44,Woman
1167,417,35-39,Man
1168,794,25-29,Woman
1169,654,40-44,Man
1170,393,35-39,Man
1171,599,18-21,Man
1172,13265,45-49,Man
1173,306,18-21,Man
1174,623,30-34,Man
1175,866,60-69,Prefer not to say
1176,986,30-34,Man
1177,9548,25-29,Woman
1178,795,50-54,Man
1179,576,50-54,Man
1180,562,22-24,Man
1181,691,40-44,Man
1182,568,25-29,Man
1183,459,18-21,Man
1184,2766,18-21,Woman
1185,916,25-29,Man
1186,312,18-21,Woman
1187,433,35-39,Man
1188,829,40-44,Man
1189,1129,18-21,Man
1190,490,60-69,Man
1191,668,18-21,Man
1192,855,30-34,Woman
1193,459,25-29,Man
1194,724,25-29,Woman
