index,age,gender,country,education,role,field,cat_experience,cat_salary,visual
189,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Sin experiencia,100K - 200K,
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,20K - 50K, Matplotlib 
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,20K - 50K,Seaborn 
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,20K - 50K,Plotly / Plotly Express 
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Matplotlib 
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K,Seaborn 
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 20K, Matplotlib 
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 20K,Seaborn 
253,55-59,Woman,Brazil,Master’s degree,Business Analyst,Computers/Technology,Junior,< 20K, None
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, None
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 20K, Matplotlib 
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 20K,Ggplot / ggplot2 
265,35-39,Woman,Other,Master’s degree,Data Analyst,Computers/Technology,Senior+,, Matplotlib 
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 20K,Seaborn 
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 20K,Ggplot / ggplot2 
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 20K, Matplotlib 
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 20K,Seaborn 
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 20K,Plotly / Plotly Express 
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 20K,Ggplot / ggplot2 
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 20K,Geoplotlib 
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K, Matplotlib 
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K,Seaborn 
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K, Matplotlib 
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K,Seaborn 
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K,Ggplot / ggplot2 
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 20K, Matplotlib 
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 20K,Seaborn 
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 20K,Plotly / Plotly Express 
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 20K,Geoplotlib 
295,45-49,Man,Other,Master’s degree,Business Analyst,Government/Public Service,Junior,< 20K, Matplotlib 
295,45-49,Man,Other,Master’s degree,Business Analyst,Government/Public Service,Junior,< 20K,Seaborn 
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,20K - 50K, Matplotlib 
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,20K - 50K,Seaborn 
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,20K - 50K,Plotly / Plotly Express 
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,Academics/Education,Mid,< 20K, None
311,22-24,Man,China,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Matplotlib 
311,22-24,Man,China,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K,Seaborn 
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K,Ggplot / ggplot2 
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 20K,Shiny 
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 20K, None
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K, None
375,25-29,Woman,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Mid,< 20K, Matplotlib 
375,25-29,Woman,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Mid,< 20K,Plotly / Plotly Express 
396,50-54,Man,Spain,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Junior,50K - 100K,Ggplot / ggplot2 
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 20K, Matplotlib 
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 20K,Seaborn 
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 20K,Plotly / Plotly Express 
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 20K, Matplotlib 
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 20K,Seaborn 
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 20K,Ggplot / ggplot2 
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 20K,Shiny 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,20K - 50K, None
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 20K, Matplotlib 
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 20K,Seaborn 
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 20K, Matplotlib 
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 20K,Seaborn 
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 20K, Matplotlib 
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 20K,Seaborn 
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K, Matplotlib 
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K,Seaborn 
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K,Plotly / Plotly Express 
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K,Ggplot / ggplot2 
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,Plotly / Plotly Express 
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,Ggplot / ggplot2 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,20K - 50K, Matplotlib 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,20K - 50K,Seaborn 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,20K - 50K,Plotly / Plotly Express 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,20K - 50K,Ggplot / ggplot2 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,20K - 50K,Geoplotlib 
462,18-21,Man,China,Master’s degree,Business Analyst,Academics/Education,Senior,< 20K,Leaflet / Folium 
467,25-29,Woman,India,Master’s degree,Data Analyst,Retail/Sales,Junior,< 20K, Matplotlib 
467,25-29,Woman,India,Master’s degree,Data Analyst,Retail/Sales,Junior,< 20K,Seaborn 
477,22-24,Woman,India,Bachelor’s degree,Data Analyst,Other,Sin experiencia,< 20K,
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 20K, Matplotlib 
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 20K,Seaborn 
521,35-39,Man,China,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,20K - 50K, Matplotlib 
521,35-39,Man,China,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,20K - 50K,Seaborn 
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Matplotlib 
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K,Seaborn 
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,20K - 50K, Matplotlib 
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,20K - 50K,Seaborn 
541,22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Shipping/Transportation,Junior,, None
560,30-34,Man,Japan,Some college/university study without earning a bachelor’s degree,Business Analyst,Retail/Sales,Junior,< 20K, Matplotlib 
560,30-34,Man,Japan,Some college/university study without earning a bachelor’s degree,Business Analyst,Retail/Sales,Junior,< 20K,Seaborn 
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K, Matplotlib 
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K,Seaborn 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K, Matplotlib 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K,Seaborn 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K,Plotly / Plotly Express 
578,22-24,Man,Ukraine,Bachelor’s degree,Data Analyst,,Junior,, None
587,35-39,Man,Kenya,Bachelor’s degree,Data Analyst,,Junior,,
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 20K, Matplotlib 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 20K,Seaborn 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 20K,Plotly / Plotly Express 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 20K,Leaflet / Folium 
603,25-29,Man,Russia,Master’s degree,Business Analyst,Computers/Technology,Junior,,Altair 
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 20K, Matplotlib 
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 20K,Seaborn 
608,25-29,Man,Other,Master’s degree,Business Analyst,Other,Junior,20K - 50K, Matplotlib 
608,25-29,Man,Other,Master’s degree,Business Analyst,Other,Junior,20K - 50K,Seaborn 
612,45-49,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Senior+,, None
613,50-54,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,, None
619,35-39,Woman,Other,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,50K - 100K, None
624,18-21,Woman,China,I prefer not to answer,Data Analyst,Academics/Education,Junior,< 20K, Matplotlib 
629,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,,Junior,,
632,30-34,Man,Other,Doctoral degree,Data Analyst,,Junior,,Seaborn 
632,30-34,Man,Other,Doctoral degree,Data Analyst,,Junior,,Plotly / Plotly Express 
632,30-34,Man,Other,Doctoral degree,Data Analyst,,Junior,,Geoplotlib 
638,30-34,Man,Russia,Master’s degree,Data Analyst,Academics/Education,Mid,< 20K, Matplotlib 
638,30-34,Man,Russia,Master’s degree,Data Analyst,Academics/Education,Mid,< 20K,Ggplot / ggplot2 
644,35-39,Man,China,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 20K, None
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K, Matplotlib 
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K,Seaborn 
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K,Ggplot / ggplot2 
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K,Geoplotlib 
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K, Matplotlib 
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K,Seaborn 
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,20K - 50K, Matplotlib 
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,20K - 50K,Seaborn 
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,20K - 50K,Plotly / Plotly Express 
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,20K - 50K,Seaborn 
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,20K - 50K,Ggplot / ggplot2 
681,18-21,Man,Viet Nam,Master’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,< 20K, None
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 20K, Matplotlib 
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 20K,Seaborn 
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 20K,Plotly / Plotly Express 
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 20K, Matplotlib 
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 20K,Seaborn 
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 20K,Plotly / Plotly Express 
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 20K,D3 js 
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 20K,Ggplot / ggplot2 
723,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Matplotlib 
723,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K,Seaborn 
723,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 20K,Plotly / Plotly Express 
727,18-21,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Data Analyst,,Senior+,, Other
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,20K - 50K,Plotly / Plotly Express 
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,20K - 50K,Ggplot / ggplot2 
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,20K - 50K,Shiny 
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 20K, Matplotlib 
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 20K,Seaborn 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K, Matplotlib 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K,Plotly / Plotly Express 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K,D3 js 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K,Geoplotlib 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K, Matplotlib 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K,Seaborn 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K,Plotly / Plotly Express 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K,Ggplot / ggplot2 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K,Shiny 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K,Altair 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K,Bokeh 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K,Geoplotlib 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K,Leaflet / Folium 
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K, Matplotlib 
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K,Seaborn 
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 20K,Plotly / Plotly Express 
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K, Matplotlib 
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,20K - 50K,Seaborn 
763,30-34,Woman,Nigeria,Master’s degree,Data Analyst,Energy/Mining,Junior,< 20K,Ggplot / ggplot2 
772,30-34,Woman,Other,Master’s degree,Data Analyst,Marketing/CRM,Mid,< 20K, None
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 20K,Shiny 
779,25-29,Woman,India,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K, Matplotlib 
779,25-29,Woman,India,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K,Seaborn 
779,25-29,Woman,India,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 20K,Ggplot / ggplot2 
784,25-29,Man,Russia,No formal education past high school,Data Analyst,Online Business/Internet-based Sales,Senior,20K - 50K, Matplotlib 
784,25-29,Man,Russia,No formal education past high school,Data Analyst,Online Business/Internet-based Sales,Senior,20K - 50K,Seaborn 
784,25-29,Man,Russia,No formal education past high school,Data Analyst,Online Business/Internet-based Sales,Senior,20K - 50K,Plotly / Plotly Express 
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 20K, Matplotlib 
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 20K, Matplotlib 
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 20K,Seaborn 
826,22-24,Man,China,Bachelor’s degree,Data Analyst,Academics/Education,Junior,, None
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K, Matplotlib 
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K,Seaborn 
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 20K, Matplotlib 
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 20K,Seaborn 
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 20K,Plotly / Plotly Express 
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 20K,Ggplot / ggplot2 
873,35-39,Man,Kenya,Master’s degree,Business Analyst,Academics/Education,Junior,< 20K, Matplotlib 
881,22-24,Man,India,Master’s degree,Data Analyst,Academics/Education,Junior,,Shiny 
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K, Matplotlib 
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,Seaborn 
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 20K, Matplotlib 
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 20K,Ggplot / ggplot2 
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 20K,Geoplotlib 
945,18-21,Woman,Viet Nam,Bachelor’s degree,Business Analyst,,Junior,,
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K, Matplotlib 
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K,Seaborn 
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K,Plotly / Plotly Express 
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 20K,Altair 
951,30-34,Woman,Russia,Master’s degree,Data Analyst,Online Service/Internet-based Services,Mid,20K - 50K, Matplotlib 
951,30-34,Woman,Russia,Master’s degree,Data Analyst,Online Service/Internet-based Services,Mid,20K - 50K,Seaborn 
959,25-29,Man,Japan,No formal education past high school,Business Analyst,Government/Public Service,Junior,< 20K,Seaborn 
965,40-44,Man,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K, Matplotlib 
965,40-44,Man,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K,Seaborn 
965,40-44,Man,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 20K,Bokeh 
969,18-21,Woman,India,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 20K, Matplotlib 
969,18-21,Woman,India,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,Junior,< 20K,Seaborn 
972,22-24,Man,India,Bachelor’s degree,Data Analyst,Accounting/Finance,Sin experiencia,< 20K,
978,25-29,Woman,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 20K, Matplotlib 
979,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,> 200K, Matplotlib 
980,30-34,Man,Egypt,Master’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 20K, Matplotlib 
980,30-34,Man,Egypt,Master’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 20K,Seaborn 
985,25-29,Man,India,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 20K, Matplotlib 
985,25-29,Man,India,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 20K,Seaborn 
994,30-34,Man,China,Master’s degree,Data Analyst,Energy/Mining,Mid,50K - 100K,Altair 
994,30-34,Man,China,Master’s degree,Data Analyst,Energy/Mining,Mid,50K - 100K,Bokeh 
