index,age,gender,country,education,role,field,cat_experience,cat_salary,cod_env
142,30-34,Man,Colombia,I prefer not to answer,Data Analyst,Accounting/Finance,Junior,< 25K,Visual Studio 
142,30-34,Man,Colombia,I prefer not to answer,Data Analyst,Accounting/Finance,Junior,< 25K,Jupyter Notebook
150,70+,Woman,United States of America,Master’s degree,Data Analyst,Government/Public Service,Senior+,100K - 200K,Jupyter Notebook
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K,JupyterLab 
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K,PyCharm 
167,45-49,Man,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,Senior,100K - 200K,Jupyter Notebook
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K,JupyterLab 
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K,Visual Studio Code (VSCode) 
185,18-21,Man,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Mid,< 25K,Jupyter Notebook
189,30-34,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Sin experiencia,100K - 200K,
190,40-44,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,50K - 100K,
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,PyCharm 
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K, Notepad++
197,40-44,Man,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,Jupyter Notebook
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Notepad++
220,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Jupyter Notebook
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,JupyterLab 
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,Visual Studio 
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,PyCharm 
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K, Notepad++
247,22-24,Man,Ukraine,Doctoral degree,Data Analyst,Other,Mid,< 25K,Jupyter Notebook
253,55-59,Woman,Brazil,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, None
257,25-29,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Jupyter Notebook
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K,JupyterLab 
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K,RStudio 
263,25-29,Woman,India,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K, Spyder
265,35-39,Woman,Other,Master’s degree,Data Analyst,Computers/Technology,Senior+,,JupyterLab 
265,35-39,Woman,Other,Master’s degree,Data Analyst,Computers/Technology,Senior+,,Jupyter Notebook
269,25-29,Woman,Pakistan,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K, Spyder
270,25-29,Woman,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Jupyter Notebook
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,JupyterLab 
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Visual Studio Code (VSCode) 
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,PyCharm 
282,40-44,Man,Canada,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Jupyter Notebook
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,RStudio 
284,30-34,Man,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Jupyter Notebook
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,RStudio 
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Visual Studio Code (VSCode) 
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K, Spyder
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K, Notepad++
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,MATLAB 
292,22-24,Man,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Jupyter Notebook
295,45-49,Man,Other,Master’s degree,Business Analyst,Government/Public Service,Junior,< 25K,Jupyter Notebook
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,25K - 50K,RStudio 
298,40-44,Man,Mexico,Master’s degree,Business Analyst,Other,Senior+,25K - 50K,Jupyter Notebook
309,35-39,Woman,Tunisia,Doctoral degree,Data Analyst,Academics/Education,Mid,< 25K,Visual Studio 
311,22-24,Man,China,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,PyCharm 
311,22-24,Man,China,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Jupyter Notebook
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,JupyterLab 
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,RStudio 
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,PyCharm 
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K, Spyder
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K, Sublime Text
340,25-29,Woman,Italy,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Jupyter Notebook
361,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K, None
363,35-39,Man,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,Senior,50K - 100K,RStudio 
375,25-29,Woman,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Jupyter Notebook
396,50-54,Man,Spain,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Junior,50K - 100K,RStudio 
405,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,Visual Studio Code (VSCode) 
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K,JupyterLab 
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K,Visual Studio Code (VSCode) 
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K,PyCharm 
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K, Spyder
413,22-24,Man,India,Bachelor’s degree,Business Analyst,Government/Public Service,Mid,< 25K,MATLAB 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,RStudio 
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,RStudio 
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,MATLAB 
431,30-34,Woman,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Jupyter Notebook
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K,Visual Studio Code (VSCode) 
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K, Notepad++
436,30-34,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Senior,< 25K,Jupyter Notebook
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Visual Studio Code (VSCode) 
440,22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Jupyter Notebook
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K,RStudio 
454,25-29,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K,Jupyter Notebook
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,RStudio 
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,PyCharm 
457,35-39,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,100K - 200K,MATLAB 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,RStudio 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Visual Studio 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Visual Studio Code (VSCode) 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,PyCharm 
461,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Jupyter Notebook
462,18-21,Man,China,Master’s degree,Business Analyst,Academics/Education,Senior,< 25K, Other
467,25-29,Woman,India,Master’s degree,Data Analyst,Retail/Sales,Junior,< 25K,Jupyter Notebook
477,22-24,Woman,India,Bachelor’s degree,Data Analyst,Other,Sin experiencia,< 25K,
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K, Spyder
509,18-21,Woman,Turkey,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K, Other
521,35-39,Man,China,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,PyCharm 
521,35-39,Man,China,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Jupyter Notebook
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,PyCharm 
533,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Jupyter Notebook
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,25K - 50K,Visual Studio 
535,60-69,Man,Italy,Bachelor’s degree,Business Analyst,Government/Public Service,Senior,25K - 50K,Jupyter Notebook
541,22-24,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Shipping/Transportation,Junior,, Notepad++
560,30-34,Man,Japan,Some college/university study without earning a bachelor’s degree,Business Analyst,Retail/Sales,Junior,< 25K,Jupyter Notebook
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,JupyterLab 
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Visual Studio Code (VSCode) 
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Jupyter Notebook
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,JupyterLab 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,RStudio 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,PyCharm 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, Spyder
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, Notepad++
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Jupyter Notebook
578,22-24,Man,Ukraine,Bachelor’s degree,Data Analyst,,Junior,,JupyterLab 
578,22-24,Man,Ukraine,Bachelor’s degree,Data Analyst,,Junior,,PyCharm 
578,22-24,Man,Ukraine,Bachelor’s degree,Data Analyst,,Junior,,MATLAB 
587,35-39,Man,Kenya,Bachelor’s degree,Data Analyst,,Junior,,JupyterLab 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,JupyterLab 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Visual Studio Code (VSCode) 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,MATLAB 
603,25-29,Man,Russia,Master’s degree,Business Analyst,Computers/Technology,Junior,, Notepad++
603,25-29,Man,Russia,Master’s degree,Business Analyst,Computers/Technology,Junior,,Jupyter Notebook
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Visual Studio Code (VSCode) 
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K, Spyder
606,30-34,Man,"Iran, Islamic Republic of...",Doctoral degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Jupyter Notebook
608,25-29,Man,Other,Master’s degree,Business Analyst,Other,Junior,25K - 50K,JupyterLab 
608,25-29,Man,Other,Master’s degree,Business Analyst,Other,Junior,25K - 50K,Jupyter Notebook
612,45-49,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Senior+,, Notepad++
612,45-49,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Senior+,, Vim / Emacs
613,50-54,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,,Visual Studio 
613,50-54,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,, Notepad++
619,35-39,Woman,Other,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,50K - 100K, None
624,18-21,Woman,China,I prefer not to answer,Data Analyst,Academics/Education,Junior,< 25K,PyCharm 
629,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,,Junior,,RStudio 
629,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,,Junior,,Visual Studio 
629,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,,Junior,,PyCharm 
629,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,,Junior,,Jupyter Notebook
632,30-34,Man,Other,Doctoral degree,Data Analyst,,Junior,,PyCharm 
632,30-34,Man,Other,Doctoral degree,Data Analyst,,Junior,, Spyder
632,30-34,Man,Other,Doctoral degree,Data Analyst,,Junior,,Jupyter Notebook
638,30-34,Man,Russia,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,JupyterLab 
638,30-34,Man,Russia,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Visual Studio Code (VSCode) 
638,30-34,Man,Russia,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,PyCharm 
644,35-39,Man,China,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 25K,Visual Studio 
644,35-39,Man,China,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 25K, Notepad++
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,RStudio 
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Visual Studio Code (VSCode) 
652,22-24,Man,Peru,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Jupyter Notebook
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K,JupyterLab 
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K, Notepad++
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K, Vim / Emacs
665,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Mid,100K - 200K,Jupyter Notebook
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,JupyterLab 
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,Visual Studio Code (VSCode) 
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,PyCharm 
671,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,25K - 50K,Jupyter Notebook
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,< 25K,RStudio 
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,< 25K,Jupyter Notebook
681,18-21,Man,Viet Nam,Master’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,< 25K,Visual Studio Code (VSCode) 
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K,Visual Studio Code (VSCode) 
689,30-34,Woman,United Arab Emirates,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K,Jupyter Notebook
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Visual Studio 
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,PyCharm 
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,MATLAB 
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 25K,RStudio 
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 25K,Visual Studio 
710,40-44,Man,Belgium,Bachelor’s degree,Data Analyst,Academics/Education,Senior+,< 25K, Notepad++
723,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,JupyterLab 
723,25-29,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Jupyter Notebook
727,18-21,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Data Analyst,,Senior+,,Visual Studio 
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,25K - 50K,RStudio 
730,30-34,Man,Germany,Master’s degree,Data Analyst,Broadcasting/Communications,Junior,25K - 50K,Visual Studio 
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K,JupyterLab 
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K,Visual Studio 
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K, Notepad++
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K, Sublime Text
736,30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Business Analyst,Online Service/Internet-based Services,Mid,< 25K,Jupyter Notebook
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Visual Studio Code (VSCode) 
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Notepad++
752,22-24,Man,Colombia,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Sublime Text
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,JupyterLab 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,RStudio 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Visual Studio 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Visual Studio Code (VSCode) 
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K, Sublime Text
754,30-34,Man,France,Master’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Jupyter Notebook
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,PyCharm 
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Sublime Text
755,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Jupyter Notebook
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,RStudio 
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Jupyter Notebook
763,30-34,Woman,Nigeria,Master’s degree,Data Analyst,Energy/Mining,Junior,< 25K,RStudio 
772,30-34,Woman,Other,Master’s degree,Data Analyst,Marketing/CRM,Mid,< 25K, None
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 25K,JupyterLab 
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 25K,Visual Studio 
775,35-39,Man,Viet Nam,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 25K, Notepad++
779,25-29,Woman,India,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Jupyter Notebook
784,25-29,Man,Russia,No formal education past high school,Data Analyst,Online Business/Internet-based Sales,Senior,< 25K,Jupyter Notebook
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,JupyterLab 
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,Visual Studio 
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,Visual Studio Code (VSCode) 
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,PyCharm 
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K, Notepad++
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K, Sublime Text
804,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,Jupyter Notebook
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,JupyterLab 
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K, Notepad++
823,45-49,Man,Greece,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,Jupyter Notebook
826,22-24,Man,China,Bachelor’s degree,Data Analyst,Academics/Education,Junior,,PyCharm 
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Visual Studio 
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 25K,JupyterLab 
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 25K,PyCharm 
846,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,< 25K,Jupyter Notebook
873,35-39,Man,Kenya,Master’s degree,Business Analyst,Academics/Education,Junior,< 25K,Visual Studio Code (VSCode) 
873,35-39,Man,Kenya,Master’s degree,Business Analyst,Academics/Education,Junior,< 25K,Jupyter Notebook
881,22-24,Man,India,Master’s degree,Data Analyst,Academics/Education,Junior,,PyCharm 
881,22-24,Man,India,Master’s degree,Data Analyst,Academics/Education,Junior,,Jupyter Notebook
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,Jupyter Notebook
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K,RStudio 
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K,Visual Studio 
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K, Notepad++
