index,age,gender,country,education,role,field,cat_experience,cat_salary,learn_unido
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,PostgreSQL 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,SQLite 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Oracle Database 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,MongoDB 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Snowflake 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,IBM Db2 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Microsoft Azure SQL Database 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Microsoft Azure Cosmos DB 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Amazon Redshift 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Amazon Aurora 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Amazon DynamoDB 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Google Cloud Firestore 
430,30-34,Woman,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,25K - 50K,Google Cloud Spanner 
462,18-21,Man,China,Master’s degree,Business Analyst,Academics/Education,Senior,< 25K,Other
477,22-24,Woman,India,Bachelor’s degree,Data Analyst,Other,Sin experiencia,< 25K,MySQL 
477,22-24,Woman,India,Bachelor’s degree,Data Analyst,Other,Sin experiencia,< 25K,Oracle Database 
477,22-24,Woman,India,Bachelor’s degree,Data Analyst,Other,Sin experiencia,< 25K,Microsoft Azure Cosmos DB 
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Oracle Database 
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Microsoft SQL Server 
564,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Amazon RDS 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,MySQL 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,PostgreSQL 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,SQLite 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,MongoDB 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Microsoft SQL Server 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Amazon Aurora 
574,35-39,Man,Other,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud SQL 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,MySQL 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,PostgreSQL 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,SQLite 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,MongoDB 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Snowflake 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Microsoft Azure Cosmos DB 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Google Cloud BigQuery 
588,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Google Cloud Spanner 
608,25-29,Man,Other,Master’s degree,Business Analyst,Other,Junior,25K - 50K,Microsoft SQL Server 
624,18-21,Woman,China,I prefer not to answer,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud BigTable 
644,35-39,Man,China,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 25K,MySQL 
675,50-54,Man,Egypt,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,< 25K,Microsoft SQL Server 
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Microsoft Azure SQL Database 
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Microsoft Azure Cosmos DB 
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Amazon Aurora 
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Google Cloud BigQuery 
709,22-24,Woman,Other,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K,Google Cloud BigTable 
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,MySQL 
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,PostgreSQL 
756,25-29,Man,South Korea,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,25K - 50K,Google Cloud SQL 
772,30-34,Woman,Other,Master’s degree,Data Analyst,Marketing/CRM,Mid,< 25K,Microsoft Azure SQL Database 
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,MongoDB 
830,22-24,Man,Brazil,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Microsoft SQL Server 
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,MySQL 
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,Google Cloud BigQuery 
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,Google Cloud SQL 
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,Google Cloud Firestore 
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,Google Cloud BigTable 
885,30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Computers/Technology,Junior,100K - 200K,Google Cloud Spanner 
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K,MySQL 
921,22-24,Man,India,I prefer not to answer,Business Analyst,Computers/Technology,Junior,< 25K,PostgreSQL 
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,MySQL 
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,SQLite 
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,MongoDB 
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Microsoft SQL Server 
949,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud BigTable 
978,25-29,Woman,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K,Oracle Database 
978,25-29,Woman,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K,Snowflake 
978,25-29,Woman,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K,Microsoft Azure SQL Database 
980,30-34,Man,Egypt,Master’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,MySQL 
1031,25-29,Woman,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Business Analyst,Hospitality/Entertainment/Sports,Sin experiencia,< 25K,Other
1070,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,IBM Db2 
1070,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Microsoft Azure SQL Database 
1070,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Microsoft Azure Cosmos DB 
1070,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Amazon Aurora 
1070,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Amazon RDS 
1070,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud BigQuery 
1070,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud SQL 
1070,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud BigTable 
1070,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud Spanner 
1098,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Sin experiencia,< 25K,MongoDB 
1098,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Sin experiencia,< 25K,Microsoft Azure SQL Database 
1098,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Sin experiencia,< 25K,Microsoft Azure Cosmos DB 
1101,55-59,Man,Egypt,Master’s degree,Business Analyst,Manufacturing/Fabrication,Senior+,< 25K,MySQL 
1101,55-59,Man,Egypt,Master’s degree,Business Analyst,Manufacturing/Fabrication,Senior+,< 25K,SQLite 
1101,55-59,Man,Egypt,Master’s degree,Business Analyst,Manufacturing/Fabrication,Senior+,< 25K,Oracle Database 
1101,55-59,Man,Egypt,Master’s degree,Business Analyst,Manufacturing/Fabrication,Senior+,< 25K,MongoDB 
1101,55-59,Man,Egypt,Master’s degree,Business Analyst,Manufacturing/Fabrication,Senior+,< 25K,Microsoft SQL Server 
1101,55-59,Man,Egypt,Master’s degree,Business Analyst,Manufacturing/Fabrication,Senior+,< 25K,Microsoft Azure SQL Database 
1101,55-59,Man,Egypt,Master’s degree,Business Analyst,Manufacturing/Fabrication,Senior+,< 25K,Microsoft Azure Cosmos DB 
1101,55-59,Man,Egypt,Master’s degree,Business Analyst,Manufacturing/Fabrication,Senior+,< 25K,Google Cloud SQL 
1101,55-59,Man,Egypt,Master’s degree,Business Analyst,Manufacturing/Fabrication,Senior+,< 25K,Google Cloud Spanner 
1107,25-29,Man,Egypt,Bachelor’s degree,Business Analyst,Broadcasting/Communications,Mid,< 25K,Amazon Aurora 
1121,30-34,Woman,South Korea,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,MySQL 
1121,30-34,Woman,South Korea,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,SQLite 
1121,30-34,Woman,South Korea,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,MongoDB 
1121,30-34,Woman,South Korea,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Amazon RDS 
1121,30-34,Woman,South Korea,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Google Cloud BigQuery 
1127,30-34,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Senior,< 25K,MySQL 
1127,30-34,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Senior,< 25K,SQLite 
1132,25-29,Woman,India,Bachelor’s degree,Data Analyst,Accounting/Finance,Sin experiencia,< 25K,Google Cloud BigTable 
1159,30-34,Man,Turkey,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud BigQuery 
1170,35-39,Man,Pakistan,Master’s degree,Business Analyst,Accounting/Finance,Mid,< 25K,MySQL 
1170,35-39,Man,Pakistan,Master’s degree,Business Analyst,Accounting/Finance,Mid,< 25K,SQLite 
1170,35-39,Man,Pakistan,Master’s degree,Business Analyst,Accounting/Finance,Mid,< 25K,Oracle Database 
1170,35-39,Man,Pakistan,Master’s degree,Business Analyst,Accounting/Finance,Mid,< 25K,Google Cloud BigTable 
1182,25-29,Man,Philippines,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,< 25K,MySQL 
1182,25-29,Man,Philippines,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,< 25K,PostgreSQL 
1182,25-29,Man,Philippines,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,< 25K,Microsoft SQL Server 
1182,25-29,Man,Philippines,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,< 25K,Amazon Redshift 
1182,25-29,Man,Philippines,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,< 25K,Google Cloud BigQuery 
1182,25-29,Man,Philippines,Bachelor’s degree,Data Analyst,Marketing/CRM,Junior,< 25K,Google Cloud SQL 
1192,30-34,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,MySQL 
1192,30-34,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Microsoft SQL Server 
1192,30-34,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Microsoft Azure SQL Database 
1202,35-39,Woman,Australia,Doctoral degree,Data Analyst,Computers/Technology,Mid,50K - 100K,PostgreSQL 
1202,35-39,Woman,Australia,Doctoral degree,Data Analyst,Computers/Technology,Mid,50K - 100K,MongoDB 
1202,35-39,Woman,Australia,Doctoral degree,Data Analyst,Computers/Technology,Mid,50K - 100K,Snowflake 
1202,35-39,Woman,Australia,Doctoral degree,Data Analyst,Computers/Technology,Mid,50K - 100K,Microsoft Azure SQL Database 
1202,35-39,Woman,Australia,Doctoral degree,Data Analyst,Computers/Technology,Mid,50K - 100K,Google Cloud BigQuery 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,MySQL 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,PostgreSQL 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Oracle Database 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,MongoDB 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Snowflake 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,IBM Db2 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Microsoft SQL Server 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Microsoft Azure SQL Database 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Microsoft Azure Cosmos DB 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Amazon Redshift 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Google Cloud BigQuery 
1230,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Google Cloud SQL 
1235,25-29,Man,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,MongoDB 
1259,25-29,Man,Pakistan,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,MySQL 
1270,30-34,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,MySQL 
1270,30-34,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Google Cloud BigQuery 
1270,30-34,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Google Cloud SQL 
1270,30-34,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Google Cloud Firestore 
1270,30-34,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Google Cloud BigTable 
1304,30-34,Woman,Germany,Master’s degree,Data Analyst,Shipping/Transportation,Senior,50K - 100K,PostgreSQL 
1304,30-34,Woman,Germany,Master’s degree,Data Analyst,Shipping/Transportation,Senior,50K - 100K,Microsoft Azure SQL Database 
1308,35-39,Woman,Nigeria,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Oracle Database 
1308,35-39,Woman,Nigeria,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,MongoDB 
1308,35-39,Woman,Nigeria,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Microsoft Azure SQL Database 
1308,35-39,Woman,Nigeria,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Amazon DynamoDB 
1308,35-39,Woman,Nigeria,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Amazon RDS 
1308,35-39,Woman,Nigeria,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Google Cloud SQL 
1308,35-39,Woman,Nigeria,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Google Cloud Firestore 
1308,35-39,Woman,Nigeria,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Google Cloud BigTable 
1313,18-21,Woman,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,MySQL 
1313,18-21,Woman,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,Amazon Redshift 
1313,18-21,Woman,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,Amazon Aurora 
1313,18-21,Woman,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,Amazon DynamoDB 
1313,18-21,Woman,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,Amazon RDS 
1323,60-69,Prefer not to say,United States of America,Master’s degree,Data Analyst,Government/Public Service,Sin experiencia,100K - 200K,MySQL 
1323,60-69,Prefer not to say,United States of America,Master’s degree,Data Analyst,Government/Public Service,Sin experiencia,100K - 200K,Microsoft Azure Cosmos DB 
1376,25-29,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,MySQL 
1376,25-29,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,PostgreSQL 
1376,25-29,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,MongoDB 
1376,25-29,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Amazon Redshift 
1378,30-34,Man,Saudi Arabia,Bachelor’s degree,Business Analyst,Academics/Education,Junior,< 25K,Amazon RDS 
1385,45-49,Man,Spain,Bachelor’s degree,Data Analyst,Government/Public Service,Senior,50K - 100K,MySQL 
1385,45-49,Man,Spain,Bachelor’s degree,Data Analyst,Government/Public Service,Senior,50K - 100K,SQLite 
1385,45-49,Man,Spain,Bachelor’s degree,Data Analyst,Government/Public Service,Senior,50K - 100K,Oracle Database 
1385,45-49,Man,Spain,Bachelor’s degree,Data Analyst,Government/Public Service,Senior,50K - 100K,MongoDB 
1404,25-29,Man,France,Master’s degree,Business Analyst,Manufacturing/Fabrication,Mid,100K - 200K,MySQL 
1404,25-29,Man,France,Master’s degree,Business Analyst,Manufacturing/Fabrication,Mid,100K - 200K,Oracle Database 
1404,25-29,Man,France,Master’s degree,Business Analyst,Manufacturing/Fabrication,Mid,100K - 200K,Microsoft SQL Server 
1404,25-29,Man,France,Master’s degree,Business Analyst,Manufacturing/Fabrication,Mid,100K - 200K,Microsoft Azure SQL Database 
1404,25-29,Man,France,Master’s degree,Business Analyst,Manufacturing/Fabrication,Mid,100K - 200K,Microsoft Azure Cosmos DB 
